feature	coef
model_accord crosstour exl	476.7938284
model_express commercial cutaway	435.2858505
model_4runner sr5 sport utility	388.4039519
size_sub-compact	379.9122497
model_INTERNATIONAL 4700 DUMP	369.6262129
model_tacoma double cab pickup	357.833798
model_silverado 2500	353.0218683
model_LBZ Duramax	348.7990887
model_q7	335.0587926
model_expedition xlt sport	314.4119657
model_qx70	307.9538683
model_a6 2.0t premium plus sedan	271.3290285
model_accent	270.578717
model_highlander	268.221975
transmission_other	262.0199841
model_nx 200t sport utility 4d	255.9245297
model_cr-v lx	252.2571554
model_crv ex-l	216.3192811
cylinders_8 cylinders	145.8176472
paint_color_white	132.0036948
model_wrangler sport suv 2d	124.4623724
model_enclave	122.6301248
manufacturer_jaguar	119.2980123
model_g35 sedan	87.22233739
model_acadia slt-1 sport utility	64.58825979
manufacturer_honda	52.93318659
model_town & country	2.924481886
type_mini-van	2.924420699
model_frontier crew cab pro-4x	0
region_birmingham	-49.29983485
model_jetta	-53.17074335
model_gx470	-74.41120313
model_enclave cxl	-130.5831655
model_mkz	-150.3712403
type_pickup	-167.108995
model_mkz select sedan 4d	-171.4376914
model_camry xle	-176.301163
model_e-pace p250 s sport	-190.3133807
model_sierra 2500 hd double cab	-195.9056431
model_qx4	-196.608484
model_1500 crew cab big horn	-204.9614325
model_rogue sport	-218.6482561
model_qx60 3.5 sport utility	-233.8321745
model_prius	-270.0033619
model_300	-296.7590828
model_altima 3.5 sl	-301.4748998
model_savana	-314.7841277
model_silverado 1500 lt	-370.7613432
model_mustang gt premium	-378.8629854
model_miata	-405.816205
manufacturer_mitsubishi	-434.4906891
model_boxster	-441.113524
model_f150 super cab xl pickup 4d	-452.9561907
model_mkz premiere sedan 4d	-463.7847384
paint_color_yellow	-477.5853552
model_super duty f-450 drw	-482.9937967
model_mx-5 miata touring	-502.5777287
model_f150	-545.7976645
model_q50	-550.1597377
type_nan	-562.901239
model_mx-5 miata club	-563.1247195
model_silverado 1500 ld	-580.458534
model_300 limited sedan 4d	-591.013462
model_focus	-604.8344943
model_dakota regular cab long be	-626.0948612
model_is 250	-677.3542891
model_f450	-697.3136259
model_ridgeline	-731.312041
model_regal premium ii sedan 4d	-742.5819049
model_cooper	-758.7561008
model_grand cherokee	-816.7954989
model_1500 crew cab tradesman	-830.2832813
model_savana commercial cutaway	-832.7953468
manufacturer_bmw	-835.8632511
model_town car	-890.1353206
model_silverado 1500 ltz crew cab 4wd	-910.0474069
model_camry	-921.7326962
model_yukon xl	-946.6208075
model_escape	-953.7935848
model_grand am gt 1	-963.3355948
model_tacoma access cab pickup	-973.6109623
model_forte	-1011.648771
model_crosstour ex-l	-1020.195167
paint_color_blue	-1051.197344
model_sonata se sedan 4d	-1055.942944
model_4runner	-1064.873261
model_f150 regular cab xl pickup	-1091.039347
model_rio	-1112.704735
model_sonata sport sedan 4d	-1118.238281
model_xjr s	-1121.696316
model_1500 yukon denali xl	-1153.19095
model_freestyle	-1159.218529
model_fx35	-1165.360901
paint_color_red	-1185.70246
manufacturer_lincoln	-1190.113196
model_lacrosse	-1219.001433
model_f150 lariat supercrew 4x4	-1221.687467
paint_color_grey	-1223.351232
model_soul ! wagon 4d	-1241.971707
model_suburban	-1261.42825
model_altima	-1321.815281
model_sonata sel sedan 4d	-1328.863722
model_ranger supercrew xl pickup	-1330.10492
model_ex35	-1331.852238
model_altima 2.5 s	-1335.630153
model_colorado crew cab z71	-1386.727683
model_tc5500	-1417.305716
model_grand cherokee laredo sport	-1435.331314
model_q5 premium sport utility 4d	-1446.453428
model_rx350	-1464.854216
type_sedan	-1486.943484
model_tundra	-1502.847823
model_tsx	-1511.593334
model_pt cruiser	-1521.291116
model_1500 quad cab express pickup	-1536.888365
model_e350	-1547.127517
title_status_nan	-1547.86196
model_sierra 1500 double cab sle	-1551.050193
model_acadia slt sport utility 4d	-1552.441325
paint_color_nan	-1565.109471
model_transit connect wagon	-1575.631156
model_accord	-1581.055868
model_f250 service	-1612.143868
model_benz c300	-1654.464993
model_s60 t5 cross country	-1656.961116
model_mdx sport utility 4d	-1674.752038
model_civic si coupe 2d	-1682.840016
model_acadia sle-2 sport utility	-1690.782693
